6523,1821,1289,1380,1529,809,-178.4
6562,2,3,3,0,2,-0.3
6300,5,2,25,20,7,2.2
6343,81,32,64,86,40,-2.8
67682,0,0,0,0,0,0.0
42567,0,1,3,0,0,-0.1
46065,63,73,64,40,24,-11.1
69783,0,0,0,0,0,0.0
69775,2,1,1,0,0,-0.5
51704,0,4,2,4,0,0.0
47256,0,1,0,0,0,-0.1
87648,0,0,0,0,0,0.0
23983,0,0,0,0,0,0.0
8385,110,54,72,100,48,-7.8
78481,5,1,1,0,0,-1.1
55506,0,1,2,3,1,0.4
55872,1,1,6,5,3,0.8
184756,0,0,0,0,0,0.0
167014,0,0,0,0,0,0.0
15086,24,26,28,15,6,-4.7
11787,0,0,0,0,0,0.0
49340,1,0,0,7,1,0.7
52599,53,73,78,88,29,-3.3
48590,21,20,49,49,15,1.7
48573,707,525,554,361,200,-117.8
78920,0,0,0,2,0,0.2
5019,18,14,10,18,8,-1.6
5080,0,0,0,0,0,0.0
9516,26,34,70,68,23,2.8
18265,0,0,0,2,0,0.2
13044,0,0,0,0,0,0.0
13027,82,31,58,31,8,-14.8
43520,73,10,10,9,2,-14.3
43521,124,48,70,55,42,-15.7
7751,0,0,0,0,0,0.0
7753,0,0,4,1,4,0.9
31647,7,2,2,3,1,-1.1
22541,0,0,0,0,0,0.0
71058,8,14,12,13,5,-0.7
39896,822,674,718,695,339,-94.5
1015,717,634,1296,1228,524,20.8
986,472,465,264,476,230,-47.3
42954,772,531,634,886,237,-71.5
42955,381,303,391,616,205,-3.9
92045,203,206,165,128,76,-33.2
57277,0,0,0,0,0,0.0
164690,0,0,0,0,0,0.0
62314,13,25,35,24,9,-0.9
956,720,581,546,547,244,-98.6
32842,45,39,48,39,26,-3.8
4702,0,0,0,1,0,0.1
4708,0,1,1,1,0,0.0
4703,0,0,0,0,0,0.0
4747,4,3,4,1,1,-0.8
53356,65,71,80,98,40,-2.3
53339,678,492,545,614,295,-64.4
1050,429,356,484,696,326,13.4
60288,41,59,58,45,13,-7.0
42672,991,700,740,544,225,-168.8
42661,0,0,0,0,0,0.0
91346,0,0,0,0,0,0.0
57886,89,245,189,182,71,-9.9
33611,59,66,74,89,37,-2.1
89153,57,51,41,70,30,-3.5
42312,87,46,69,86,40,-5.4
96975,1,5,9,4,4,0.5
38462,3560,2624,3704,4363,1921,-153.9
41091,0,0,0,0,0,0.0
50444,0,0,0,0,0,0.0
50448,0,0,0,0,0,0.0
23469,11,7,9,8,3,-1.5
23508,43,33,53,29,12,-6.6
23482,11,2,4,3,3,-1.5
87661,50,53,73,58,29,-3.7
70273,4,3,2,10,1,0.1
101074,0,0,0,0,0,0.0
183458,126,106,147,156,89,-2.4
181439,3421,3772,4658,5042,2670,-23.2
140495,0,0,0,0,0,0.0
70120,1130,935,1085,738,323,-181.1
44081,50,59,158,100,55,5.1
44083,146,109,181,220,95,0.9
73426,2,3,3,2,0,-0.5
80014,357,176,419,435,142,-17.1
89333,6,10,4,4,5,-0.8
170961,0,0,0,0,0,0.0
62478,0,0,0,1,0,0.1
73854,136,106,153,214,131,9.8
20005,14,16,22,21,11,-0.1
63194,0,0,0,0,0,0.0
95994,7,5,9,10,6,0.3
81163,1778,1950,1737,1851,1234,-118.7
76057,0,0,0,0,0,0.0
56865,2,4,11,3,1,-0.3
79075,8,1,6,6,5,-0.1
168575,0,0,0,0,0,0.0
