100127,6,0,4,15,0,0.3
100130,14,18,21,24,10,-0.2
100277,1,1,0,2,0,-0.1
100279,22,56,61,84,10,0.4
100484,9,8,19,20,4,0.2
100563,5,9,8,1,0,-1.8
100690,14,16,6,10,6,-2.2
100725,0,0,2,2,0,0.2
100954,7,4,10,15,27,5.1
100967,0,1,0,1,0,0.0
101069,3,6,9,7,8,1.1
101115,46,60,97,101,64,7.7
101117,39,74,33,24,9,-11.0
103485,0,0,7,3,2,0.7
103541,185,159,186,224,81,-14.3
104464,0,0,0,2,0,0.2
104590,0,2,0,0,0,-0.2
104874,1,0,0,1,2,0.3
105010,0,0,0,2,2,0.6
105101,0,1,0,0,0,-0.1
105577,52,62,55,95,23,-2.5
10628,0,0,2,4,3,1.0
12423,3,1,1,0,0,-0.7
12430,436,360,474,453,191,-39.7
12452,0,6,4,3,1,-0.1
12487,79,87,91,76,28,-11.3
125514,93,70,92,103,38,-7.7
125651,5,5,9,6,0,-0.9
12661,1,0,4,0,0,-0.2
12775,13,20,14,16,4,-2.2
127790,14,14,21,21,7,-0.7
128998,593,523,593,120,76,-143.7
12930,32,5,5,20,10,-2.9
130196,5,3,1,3,4,-0.2
13079,0,2,5,4,1,0.4
1334,1203,973,654,937,468,-150.6
1344,1323,1018,950,1002,502,-165.8
134824,32,44,56,64,21,-0.2
155903,606,438,1279,1035,409,20.3
156804,1,1,7,2,0,-0.1
158385,5,2,1,3,0,-0.9
160134,4,3,5,2,5,0.1
160164,0,1,2,8,0,0.7
16112,5,3,3,6,1,-0.5
16136,29,28,17,23,16,-3.1
16263,0,1,1,4,1,0.5
164225,732,493,520,541,260,-89.6
172171,107,93,114,185,43,-3.6
17227,1,1,0,1,1,0.0
17277,693,507,429,604,412,-46.5
172834,2,5,2,5,1,-0.2
174411,9,12,7,70,107,25.4
17444,0,1,0,0,0,-0.1
176447,459,425,483,428,212,-49.1
17728,1,0,0,0,0,-0.2
177642,73,7,16,5,1,-14.6
178211,0,0,20,0,0,0.0
25789,10,18,21,52,25,6.4
26312,0,1,1,2,0,0.1
26453,19,30,28,29,3,-3.3
26909,85,132,132,146,51,-5.4
26968,207,192,214,189,240,6.3
27054,3,10,11,4,1,-1.0
27147,3,2,3,0,1,-0.6
27184,11,12,15,20,1,-1.2
27269,17,9,20,21,5,-1.2
27326,1,1,0,2,2,0.3
27465,0,2,8,5,1,0.5
27732,12,7,6,14,2,-1.3
27784,31,1,20,30,5,-2.3
27785,48,4,44,131,40,11.1
27902,27,27,36,42,15,-0.9
27964,118,72,127,95,52,-10.9
28235,1,3,1,0,0,-0.5
28320,6,4,6,8,4,0.0
28467,5,4,11,7,4,0.1
28517,21,12,11,22,17,0.2
29649,10,9,27,17,3,-0.6
29828,0,0,2,1,0,0.1
29939,2,0,2,1,1,-0.1
29970,1,0,0,1,0,-0.1
30099,11,5,4,6,5,-1.1
30211,8,11,11,13,6,-0.2
30342,51,43,48,36,36,-3.7
30357,322,217,276,261,128,-34.4
30387,581,493,527,728,267,-39.3
30488,150,102,253,318,94,10.4
30557,3,12,2,7,0,-1.1
30582,11,12,13,28,7,0.8
30673,102,67,85,67,21,-16.2
51861,4,4,4,8,5,0.6
